emis_num,level,region,council,chfdom,school_name_and_town,phone,owner
110101206,Primary,East,kailahun district council,1,ROMAN CATHOLIC PRIMARY SCHOOL SIENGA SIENGA,076484775,mission
110101207,Primary,East,kailahun district council,1,KAILAHUN DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL TAKPOIMA,79175290,government
110101208,Primary,East,kailahun district council,1,ROMAN CATHOLIC PRIMARY SCHOOL BAIWALLA,76606361,mission
110101209,Primary,East,kailahun district council,1,KAILAHUN DISTRICT EDUCATION COMMITTEE KURANKO KURANKO,088581919,government
110101210,Primary,East,kailahun district council,1,ROMAN CATHOLIC PRIMARY SCHOOL SAKIEMA,078456779,mission
110101211,Primary,East,kailahun district council,1,ROMAN CATHOLIC PRIMARY SCHOOL,088943271,mission
110101212,Primary,East,kailahun district council,1,COMMUNITY PRIMARY SCHOOL GBAHAMA,030663991,community
110101301,JSS,East,kailahun district council,1,PEACE MEMORIAL JUNIOR SECONDARY SCHOOL BAIWALLA,78540707,government
110201101,Preschool,East,kailahun district council,2,SUPREME ISLAMIC PRE-SCHOOL DARU,077070230,mission
110201102,Preschool,East,kailahun district council,2,EARLY CHILDHOOD CARE AND DEVELOPMENT PRE- SCHOOL DARU,078389124,community
110201103,Preschool,East,kailahun district council,2,ST. PATRICKS PRE-SCHOOL DARU,030712610,mission
110201104,Preschool,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION COMMITTEE PRE- SCHOOL DARU,079389124,government
110201201,Primary,East,kailahun district council,2,ROMAN CATHOLIC PRIMARY DARU,077419849,mission
110201202,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION MAMABU JAWIE KAMABU,079394442,government
110201203,Primary,East,kailahun district council,2,ROMAN CATHOLIC PRIMARY SCHOOL BENDUMA,88968587,mission
110201204,Primary,East,kailahun district council,2,ROMAN CATHOLIC PRIMARY BOMBOHUN,77403127,mission
110201205,Primary,East,kailahun district council,2,PROVINCIAL ISLAMIC PRIMARY BOMBOHUN,077275094,mission
110201206,Primary,East,kailahun district council,2,FORUM FOR AFRICA WOMEN EDUCATIONIST GIRLS PRIMARY DARU,None,community
110201207,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATIION PRIMARY DARU,77250128,government
110201208,Primary,East,kailahun district council,2,KAILAHUN DISTRICT EDUCATION COMMITTEE LOWER DARU,77413718,government
110201209,Primary,East,kailahun district council,2,METHODIST PRIMARY DARU DARU,099052919,mission
110201210,Primary,East,kailahun district council,2,NATIONAL ISLAMIC PRIMARY DARU,077483419,mission
110201211,Primary,East,kailahun district council,2,PROVINCIAL ISLAMIC PRIMARY DARU,78194420,mission
110201212,Primary,East,kailahun district council,2,SIERRA LEONE MUSLIM BROTHEHOOD PRIMARY DARU,030652449,mission
110201213,Primary,East,kailahun district council,2,SUPREME ISLAMIC COUNCIL LOWER BENDUMA ROAD DARU,77200463,mission
110201214,Primary,East,kailahun district council,2,SUPREME ISLAMIC PRIMARY BENDUMA ROAD DARU DARU,78892397,mission
110201215,Primary,East,kailahun district council,2,TAHIR AHMADIYYA PRIMARY DARU,076177161,mission
110201216,Primary,East,kailahun district council,2,SIERRA LEONE CHURCH PRIMARY SCHOOL DARU,099326644,mission
110201217,Primary,East,kailahun district council,2,PENTECOST PRIMARY SCHOOL,076921510,mission
110201218,Primary,East,kailahun district council,2,BADRU DEEN ISLAMIC PRIMARY SCHOOL,076199915,mission
110201302,JSS,East,kailahun district council,2,PROVINCIAL ISLAMIC JUNIOR SECONDARY SCHOOL DARU,078768372,mission
110201303,JSS,East,kailahun district council,2,SAINT PETER'S JUNIOR SECONDARY SCHOOL DARU,76980403,mission
110201305,JSS,East,kailahun district council,2,WALLACE AGRICULTURAL JUNIOR SECONDARY SCHOOL. DARU,76841105,mission
110201306,JSS,East,kailahun district council,2,UMAR- BINAL- KHATABA JUNIOR SEC. SCHOOL DARU,088352228,mission
110201401,SSS,East,kailahun district council,2,JAWIE AHMADIYYA MUSLIM SECONDARY SCHOOL DARU,76745367,mission
110201402,SSS,East,kailahun district council,2,PROVINCIAL ISLAMIC SENIOR SCHOOL DARU,078768372,mission
110201403,SSS,East,kailahun district council,2,SENT PETERS SENIOR SEC SCH DARU,076980403,mission
110201404,SSS,East,kailahun district council,2,WALLACE AGRIC SEN SEC SCH DARU,076420822,mission
110201405,SSS,East,kailahun district council,2,PENTECOST VOCATIONAL AND TECHNICAL DARU,076921510,mission
110202201,Primary,East,kailahun district council,2,AHMADIYYA PRIMARY SCHOOL BAIMA BOBU,30759074,mission
110202202,Primary,East,kailahun district council,2,AL-QUDUS ISLAMIC PRIMARY FOLU,78496637,mission
110202203,Primary,East,kailahun district council,2,ROMAN CATHOLIC PRIMARY FORLU JAWEI CHIEFDOM FORLU,078565176,mission
110202204,Primary,East,kailahun district council,2,PROVINCIAL ISLAMIC PRIMARY GANDORHUN,0767114490,mission
