emis_num,level,region,council,chfdom,school_name,town_name,phone,owner
110101206,Primary,East,kailahun district council,1,Roman Catholic Primary School,Sienga,076484775,mission
110101207,Primary,East,kailahun district council,1,Kailahun District Education Council Primary School,Takpoima,79175290,government
110101208,Primary,East,kailahun district council,1,Roman Catholic Primary School,Baiwalla,76606361,mission
110101209,Primary,East,kailahun district council,1,Kailahun District Education Committee Kuranko,Kuranko,088581919,government
110101210,Primary,East,kailahun district council,1,Roman Catholic Primary School,Sakiema,078456779,mission
110101211,Primary,East,kailahun district council,1,Roman Catholic Primary School,null,088943271,mission
110101212,Primary,East,kailahun district council,1,Community Primary School,Gbahama,030663991,community
110101301,JSS,East,kailahun district council,1,Peace Memorial Junior Secondary School,Baiwalla,78540707,government
110201101,Preschool,East,kailahun district council,2,Supreme Islamic Pre-School,Daru,077070230,mission
110201102,Preschool,East,kailahun district council,2,Early Childhood Care And Development Pre- School,Daru,078389124,community
110201103,Preschool,East,kailahun district council,2,St. Patricks Pre-School,Daru,030712610,mission
110201104,Preschool,East,kailahun district council,2,Kailahun District Education Committee Pre- School,Daru,079389124,government
110201201,Primary,East,kailahun district council,2,Roman Catholic Primary,Daru,077419849,mission
110201202,Primary,East,kailahun district council,2,Kailahun District Education Mamabu Jawie,Kamabu,079394442,government
110201203,Primary,East,kailahun district council,2,Roman Catholic Primary School,Benduma,88968587,mission
110201204,Primary,East,kailahun district council,2,Roman Catholic Primary,Bombohun,77403127,mission
110201205,Primary,East,kailahun district council,2,Provincial Islamic Primary,Bombohun,077275094,mission
110201206,Primary,East,kailahun district council,2,Forum For Africa Women Educationist Girls Primary,Daru,None,community
110201207,Primary,East,kailahun district council,2,Kailahun District Educatiion Primary,Daru,77250128,government
110201208,Primary,East,kailahun district council,2,Kailahun District Education Committee,Lower Daru,77413718,government
110201209,Primary,East,kailahun district council,2,Methodist Primary,Daru,099052919,mission
110201210,Primary,East,kailahun district council,2,National Islamic Primary,Daru,077483419,mission
110201211,Primary,East,kailahun district council,2,Provincial Islamic Primary,Daru,78194420,mission
110201212,Primary,East,kailahun district council,2,Sierra Leone Muslim Brothehood Primary,Daru,030652449,mission
110201213,Primary,East,kailahun district council,2,Supreme Islamic Council Lower Benduma Road,Daru,77200463,mission
110201214,Primary,East,kailahun district council,2,Supreme Islamic Primary Benduma Road,Daru,78892397,mission
110201215,Primary,East,kailahun district council,2,Tahir Ahmadiyya Primary,Daru,076177161,mission
110201216,Primary,East,kailahun district council,2,Sierra Leone Church Primary School,Daru,099326644,mission
110201217,Primary,East,kailahun district council,2,Pentecost Primary School,null,076921510,mission
110201218,Primary,East,kailahun district council,2,Badru Deen Islamic Primary School,null,076199915,mission
110201302,JSS,East,kailahun district council,2,Provincial Islamic Junior Secondary School,Daru,078768372,mission
110201303,JSS,East,kailahun district council,2,Saint Peter'S Junior Secondary School,Daru,76980403,mission
110201305,JSS,East,kailahun district council,2,Wallace Agricultural Junior Secondary School,Daru,76841105,mission
110201306,JSS,East,kailahun district council,2,Umar- Binal- Khataba Junior Sec. School,Daru,088352228,mission
110201401,SSS,East,kailahun district council,2,Jawie Ahmadiyya Muslim Secondary School,Daru,76745367,mission
110201402,SSS,East,kailahun district council,2,Provincial Islamic Senior School,Daru,078768372,mission
110201403,SSS,East,kailahun district council,2,Sent Peters Senior Sec Sch,Daru,076980403,mission
110201404,SSS,East,kailahun district council,2,Wallace Agric Sen Sec Sch,Daru,076420822,mission
110201405,SSS,East,kailahun district council,2,Pentecost Vocational And Technical,Daru,076921510,mission
110202201,Primary,East,kailahun district council,2,Ahmadiyya Primary School Baima,Bobu,30759074,mission
110202202,Primary,East,kailahun district council,2,Al-Qudus Islamic Primary,Folu,78496637,mission
110202203,Primary,East,kailahun district council,2,Roman Catholic Primary Forlu,Jawei Chiefdom,078565176,mission
110202204,Primary,East,kailahun district council,2,Provincial Islamic Primary,Gandorhun,0767114490,mission
110202205,Primary,East,kailahun district council,2,National Islamic Primary,Gelehun,76924743,mission
110202206,Primary,East,kailahun district council,2,Methodist Primary School,Gouma,78009857,mission
110202207,Primary,East,kailahun district council,2,Methodist Primary Kabama,Kambama,76940461,mission
110202208,Primary,East,kailahun district council,2,Roman Catholic Primary,Kortuma,76876893,mission
110202209,Primary,East,kailahun district council,2,Roman Catholic Primary,Nyandehun,88262604,mission
110202210,Primary,East,kailahun district council,2,Sierra Leone Church,Nyanyagohun,076409504,mission
110202301,JSS,East,kailahun district council,2,Konah Islamic Junior Secondary School,null,076650875,private
110203201,Primary,East,kailahun district council,2,Natioanal Islamic Primary Karlu,Jawie,76366369,mission
110203202,Primary,East,kailahun district council,2,Provincial Islamic Primary,null,078374283,mission
110203203,Primary,East,kailahun district council,2,Kailahun District Council Primary,Madina,76270711,government
110203204,Primary,East,kailahun district council,2,Kailahun District Education Primary,Motehun,079389124,government
110203205,Primary,East,kailahun district council,2,Kailahun District Education Ngieya/Kpend,Ella,78477830,government
110203206,Primary,East,kailahun district council,2,Roman Catholic Primary Kpendema,Njala,None,mission
110203207,Primary,East,kailahun district council,2,Kailahun District Education,Nyeama,099002918,government
110203208,Primary,East,kailahun district council,2,Sierra Leone Muslim Brotherhood,Pellie Jawie,078628541,mission
110203209,Primary,East,kailahun district council,2,Kailahun District Education Committee Primary School,Sembehun,079389124,government
110203210,Primary,East,kailahun district council,2,Natioanl Islamic Primary,Willor,077919964,mission
110203211,Primary,East,kailahun district council,2,Kailahun District Education Committee,Yawei,099002918,government
110203301,JSS,East,kailahun district council,2,Ngiebu Methodist Junior Secondary School,Nyeama,076744362,mission
110301102,Preschool,East,kailahun district council,3,God Is Our Light Pre-School,Kondorma,088505705,mission
110301103,Preschool,East,kailahun district council,3,Free Penticostal Pre-Primary School,Dia,088439128,mission
110301201,Primary,East,kailahun district council,3,Roman Catholic Primary School,Dambo,79798326,mission
110301202,Primary,East,kailahun district council,3,E.B.M Boyd Primary School,Dia,78620563,mission
110301203,Primary,East,kailahun district council,3,Roman Catholic Primary School,Dia,78905633,mission
110301205,Primary,East,kailahun district council,3,Kailahun District Education Committee Primary School,Famandu,78695262,government
110301206,Primary,East,kailahun district council,3,Roman Catholic Primary School Foindu,Foindu,78086289,mission
110301207,Primary,East,kailahun district council,3,God Is Our Light Primary School,Kondorma,030766704,mission
110301208,Primary,East,kailahun district council,3,Methodist Primary School Kongorma,Kongorma,78569028,government
110301209,Primary,East,kailahun district council,3,E.B.M Boyd Baptist Primary School,Kormende,79661775,mission
110301210,Primary,East,kailahun district council,3,Roman Catholic Primary School,Kunduma,77401989,mission
110301211,Primary,East,kailahun district council,3,Roman Catholic Primary School,Mano Pormor,88976344,community
110301212,Primary,East,kailahun district council,3,Roman Catholic Primary School,Ngainga,79495304,mission
110301214,Primary,East,kailahun district council,3,Roman Catholic Mission Primary School,Sangha,79498572,mission
110301215,Primary,East,kailahun district council,3,Kailahun District Education Committee,Koudu,076382206,government
110301217,Primary,East,kailahun district council,3,Roman Catholic Primary School,Kongorma,030469336,mission
110301218,Primary,East,kailahun district council,3,Assembly Of God Primary School,Yengema,088791894,mission
110301220,Primary,East,kailahun district council,3,Kl Dec Primary School,null,078784510,government
110301301,JSS,East,kailahun district council,3,Government Junior Secondary,Dia,76577460,community
110401101,Preschool,East,kailahun district council,4,Assembly Of God Church Pre-Primary School,Koindu,088487041,mission
110401102,Preschool,East,kailahun district council,4,Toli Pre-Elementary School,Koindu,078731378,community
110401103,Preschool,East,kailahun district council,4,Free Penticostal Pre-School,Koindu,030454418,mission
110401104,Preschool,East,kailahun district council,4,Early Childhood Development Centre,Koindu,077022894,government
110401105,Preschool,East,kailahun district council,4,St Joseph Pre Sch,Koindu,None,mission
110401201,Primary,East,kailahun district council,4,Free Pentecostal Mission Primary,Koindu,076547958,mission
110401202,Primary,East,kailahun district council,4,Roman Catholic Primary I Koindu,Koindu,030743590,mission
110401203,Primary,East,kailahun district council,4,Spiritual Life Primary School,Koindu,30463373,mission
110401205,Primary,East,kailahun district council,4,Roman Catholic Primary,Turadu,88901305,mission
110401206,Primary,East,kailahun district council,4,Assemblies Of God Primary,Koindu,088905689,mission
110401207,Primary,East,kailahun district council,4,Kailahun District Education Committee,Koindu,099322859,government
110401209,Primary,East,kailahun district council,4,Sierra Leone Muslim Brotherhood Primary,Koindu,088080392,mission
110401210,Primary,East,kailahun district council,4,Kailahun District Education Committee,Yenga,79618146,government
110401211,Primary,East,kailahun district council,4,God Is Our Light Primary,Koindu,88445794,mission
